age,gender,occupation,donation_frequency,donation_start_date,is_credit_card,amount,is_instant_pay,is_email_verified,is_address_verified,sign_up_date,sign_up_channel,is_cancel
28,Male,Hospitality Worker,Monthly,1/02/2018,1,20,0,0,1,12/01/2018,Door to Door,0
23,Male,Other,Monthly,1/02/2018,1,20,0,1,1,13/01/2018,Street,0
37,Male,Health Professional,Monthly,1/02/2018,1,38,0,1,1,13/01/2018,Door to Door,0
47,Male,Banking,Monthly,27/01/2018,1,30,0,0,1,15/01/2018,Street,0
35,Male,Construction,Monthly,28/02/2018,1,30,0,1,1,15/01/2018,Street,0
24,Male,Camera man ,Monthly,15/02/2018,1,30,1,1,1,15/01/2018,Street,0
33,Female,Primary school teacher,Monthly,1/03/2018,1,30,0,1,1,15/01/2018,Door to Door,0
29,Male,Machine operator,Monthly,24/02/2018,1,30,0,1,1,15/01/2018,Street,0
28,Male,Business Ownership,Monthly,1/02/2018,1,40,0,1,1,15/01/2018,Street,0
102,Female,Other,Monthly,1/02/2018,1,38,0,1,1,15/01/2018,Street,0
37,Female,Other,Monthly,16/02/2018,1,20,0,1,1,15/01/2018,Street,0
29,Female,Health Professional,Monthly,1/02/2018,1,30,0,1,1,15/01/2018,Door to Door,0
29,Male,Programmer,Monthly,1/03/2018,1,30,0,1,1,15/01/2018,Door to Door,0
32,Female,marketing ,Monthly,20/02/2018,1,25,0,1,1,15/01/2018,Street,0
28,Female,Hospitality Worker,Monthly,1/02/2018,1,35,0,1,1,15/01/2018,Door to Door,0
28,Male,software engineer ,Monthly,20/02/2018,1,30,0,1,1,15/01/2018,Street,0
40,Female,Home Care,Monthly,1/02/2018,1,30,1,1,1,15/01/2018,Street,0
26,Female,Agriculture,Monthly,1/02/2018,1,20,0,1,1,15/01/2018,Street,0
39,Female,Other,Monthly,1/02/2018,1,20,0,1,1,15/01/2018,Street,0
27,Male,Retail,Monthly,16/02/2018,1,20,0,1,1,15/01/2018,Street,0
55,Male,Engineer,Monthly,1/02/2018,1,25,0,1,1,15/01/2018,Door to Door,0
40,Female,Banking & Finance,Monthly,1/02/2018,1,40,0,1,1,15/01/2018,Door to Door,0
36,Male,Finance Worker,Monthly,1/02/2018,1,25,0,1,1,15/01/2018,Door to Door,0
36,Female,Consultant,Monthly,1/02/2018,1,40,0,1,1,15/01/2018,Door to Door,0
40,Female,House wife,Monthly,1/03/2018,1,30,0,0,1,15/01/2018,Door to Door,1
44,Male,Fisherman,Annually,1/02/2018,1,360,0,1,1,15/01/2018,Street,1
26,Female,Hospitality Worker,Monthly,1/02/2018,1,30,0,1,1,15/01/2018,Door to Door,1
78,Female,Teacher,Monthly,1/02/2018,1,30,0,0,1,16/01/2018,Street,0
37,Male,Hospitality / Chef,Monthly,1/02/2018,1,20,0,1,1,16/01/2018,Street,0
43,Male,Event manager,Monthly,26/01/2018,1,30,0,1,1,16/01/2018,Street,0
29,Female,Freelancer,Monthly,1/03/2018,1,25,0,1,1,16/01/2018,Door to Door,0
64,Female,Church Minister,Monthly,1/02/2018,1,30,0,1,1,16/01/2018,Street,0
24,Female,Assistant ,Monthly,15/02/2018,1,30,1,1,1,16/01/2018,Street,0
29,Male,Other,Monthly,1/02/2018,1,20,0,1,1,16/01/2018,Street,0
40,Female,Civil engineer ,Monthly,15/02/2018,1,30,1,1,0,16/01/2018,Street,0
29,Female,Retail Worker,Monthly,1/02/2018,1,38,0,0,1,16/01/2018,Door to Door,0
51,Female,Other,Monthly,1/02/2018,1,30,0,1,1,16/01/2018,Door to Door,0
47,Female,HR ,Monthly,15/02/2018,1,30,0,1,1,16/01/2018,Street,0
24,Male,Police,Monthly,1/02/2018,1,30,0,1,1,16/01/2018,Street,0
56,Male,Legal,Monthly,1/02/2018,1,30,0,1,1,16/01/2018,Door to Door,0
47,Female,Security Officer,Monthly,1/02/2018,1,25,0,1,1,16/01/2018,Door to Door,0
45,Female,Health Professional,Monthly,1/02/2018,1,30,0,1,1,16/01/2018,Door to Door,0
56,Male,Transport Professional,Monthly,1/02/2018,1,35,0,1,1,16/01/2018,Door to Door,0
43,Male,Engineer,Monthly,15/02/2018,1,25,0,1,1,16/01/2018,Door to Door,0
37,Male,Engineering,Monthly,1/02/2018,1,35,0,1,1,16/01/2018,Door to Door,0
34,Male,Painting,Other,15/02/2018,1,15,0,1,1,16/01/2018,Street,1
54,Female,Restauranteer,Monthly,1/01/2018,1,30,0,1,1,16/01/2018,Street,1
24,Male,Joinery,Monthly,30/01/2018,1,30,0,0,1,16/01/2018,Street,1
48,Male,Transport Professional,Monthly,1/02/2018,0,30,0,1,1,16/01/2018,Door to Door,1
31,Female,Health coach,Monthly,1/03/2018,1,30,0,0,1,17/01/2018,Door to Door,0
26,Male,Manager,Monthly,1/02/2018,1,30,0,1,1,17/01/2018,Street,0
42,Female,House wife,Monthly,1/03/2018,1,25,0,1,1,17/01/2018,Door to Door,0
31,Female,Hospitality / Chef,Monthly,1/02/2018,1,20,0,1,1,17/01/2018,Street,0
101,Female,Accounting,Monthly,1/02/2018,1,20,0,1,1,17/01/2018,Street,0
43,Female,Carer,Monthly,15/02/2018,1,30,1,1,1,17/01/2018,Street,0
54,Male,Consultant,Other,1/02/2018,1,15,0,1,1,17/01/2018,Street,0
36,Female,Cleaner,Monthly,1/02/2018,1,20,0,1,1,17/01/2018,Door to Door,0
27,Female,Retail,Monthly,15/02/2018,1,40,1,1,1,17/01/2018,Street,0
73,Female,Other,Monthly,1/02/2018,1,30,0,1,1,17/01/2018,Door to Door,0
26,Male,Construction,Monthly,1/02/2018,1,40,0,1,1,17/01/2018,Door to Door,0
51,Female,Manager,Monthly,1/02/2018,1,20,0,0,1,17/01/2018,Door to Door,0
30,Female,Hospitality Worker,Monthly,1/02/2018,1,30,0,1,1,17/01/2018,Door to Door,0
29,Male,Hospitality Worker,Monthly,1/02/2018,1,30,0,1,1,17/01/2018,Door to Door,0
39,Female,Retail Worker,Monthly,1/02/2018,1,30,0,1,1,17/01/2018,Door to Door,0
39,Female,Carer,Monthly,1/02/2018,1,25,0,1,1,17/01/2018,Door to Door,0
51,Female,Accountant,Monthly,1/02/2018,1,20,0,1,1,17/01/2018,Door to Door,0
62,Male,IT Professional,Monthly,1/02/2018,1,20,0,1,1,17/01/2018,Door to Door,0
24,Male,Construction,Monthly,1/02/2018,1,40,0,1,1,17/01/2018,Street,0
31,Male,Groceries ,Monthly,1/02/2018,1,25,0,0,1,17/01/2018,Street,1
24,Female,Trainee Pharmacy Technician ,Monthly,29/01/2018,1,25,0,1,1,17/01/2018,Street,1
53,Male,Engineering,Monthly,1/02/2018,1,40,0,1,1,17/01/2018,Door to Door,1
29,Female,Sales,Monthly,15/02/2018,1,30,1,1,1,18/01/2018,Street,0
29,Female,Accountant,Monthly,15/02/2018,1,30,1,1,1,18/01/2018,Street,0
38,Female,Teacher,Monthly,1/02/2018,1,30,1,1,1,18/01/2018,Street,0
29,Male,Project accountant ,Monthly,1/02/2018,1,30,0,1,1,18/01/2018,Street,0
41,Female,Engineering,Monthly,1/02/2018,1,25,0,1,1,18/01/2018,Door to Door,0
33,Male,Mechanic,Monthly,1/02/2018,1,30,0,1,1,18/01/2018,Door to Door,0
39,Female,Retail,Monthly,1/02/2018,1,25,0,1,1,18/01/2018,Door to Door,0
28,Male,Construction,Monthly,1/02/2018,1,40,0,1,1,18/01/2018,Door to Door,0
41,Male,Construction Worker,Monthly,1/02/2018,1,38,0,1,1,18/01/2018,Door to Door,0
50,Male,Transport Professional,Monthly,1/02/2018,1,30,0,1,1,18/01/2018,Door to Door,0
32,Male,Retail Worker,Monthly,1/02/2018,1,38,0,1,1,18/01/2018,Door to Door,0
32,Male,Management,Monthly,1/02/2018,1,40,0,1,1,18/01/2018,Door to Door,0
39,Male,Legal Professional,Monthly,1/02/2018,1,25,0,1,1,18/01/2018,Door to Door,0
49,Male,Labourer,Monthly,1/02/2018,1,30,0,1,1,18/01/2018,Door to Door,0
38,Male,Construction Worker,Monthly,1/02/2018,1,30,0,1,1,18/01/2018,Door to Door,0
43,Female,Other,Monthly,1/02/2018,1,30,0,1,1,18/01/2018,Door to Door,1
60,Female,Hospitality Worker,Monthly,1/02/2018,1,20,0,1,1,18/01/2018,Door to Door,1
40,Female,Bank manager,Monthly,15/02/2018,1,25,0,1,1,19/01/2018,Street,0
42,Female,Teacher,Monthly,1/03/2018,1,20,0,0,1,19/01/2018,Door to Door,0
30,Male,Cleaner ,Other,1/02/2018,1,14,0,1,1,19/01/2018,Street,0
28,Male,Construction,Monthly,1/02/2018,1,40,0,1,1,19/01/2018,Door to Door,0
43,Male,Engineer,Monthly,1/02/2018,1,25,0,1,1,19/01/2018,Door to Door,0
41,Male,Software engineer,Monthly,1/03/2018,1,30,0,0,1,19/01/2018,Door to Door,0
47,Female,Call Centre / Customer Service,Monthly,1/02/2018,1,30,0,1,1,19/01/2018,Door to Door,0
44,Female,Health Professional,Monthly,1/02/2018,1,38,0,1,1,19/01/2018,Door to Door,0
43,Male,Accounting ,Monthly,15/02/2018,1,30,1,1,1,19/01/2018,Street,0
63,Male,Management,Monthly,1/02/2018,1,40,0,1,1,19/01/2018,Door to Door,0
27,Male,IT & T,Monthly,1/02/2018,1,40,0,1,1,19/01/2018,Door to Door,0
28,Female,Construction,Monthly,1/02/2018,1,30,0,1,1,19/01/2018,Door to Door,0
31,Male,Construction Worker,Monthly,1/02/2018,1,38,0,1,1,19/01/2018,Door to Door,0
55,Female,Teacher,Monthly,1/03/2018,1,30,0,1,1,19/01/2018,Door to Door,1
32,Male,IT engineer,Monthly,20/02/2018,1,30,0,0,1,19/01/2018,Door to Door,1
24,Female,Teacher,Monthly,1/03/2018,1,25,0,1,1,19/01/2018,Street,1
30,Male,lecture ,Monthly,1/03/2018,1,25,0,1,1,19/01/2018,Street,1
21,Male,Computer scientist ,Monthly,1/03/2018,1,30,0,1,1,19/01/2018,Door to Door,1
30,Male,Factory Worker,Monthly,1/02/2018,1,25,0,1,1,19/01/2018,Door to Door,1
26,Male,Construction,Monthly,1/02/2018,1,30,0,1,1,19/01/2018,Door to Door,1
32,Male,IT & T,Monthly,1/02/2018,1,40,0,1,1,20/01/2018,Door to Door,1
31,Male,Technical support ,Monthly,16/02/2018,1,30,0,1,1,22/01/2018,Street,0
34,Male,Clinical research,Monthly,15/02/2018,1,30,1,1,1,22/01/2018,Street,0
28,Male,Recruitment ,Monthly,16/02/2018,1,30,0,1,1,22/01/2018,Street,0
33,Male,Structural engineer ,Monthly,1/03/2018,1,30,0,1,1,22/01/2018,Street,0
29,Female,Mother,Monthly,15/02/2018,1,30,0,1,1,22/01/2018,Street,0
27,Female,Other,Monthly,15/02/2018,1,25,0,0,1,22/01/2018,Door to Door,0
31,Female,Sales Mng,Monthly,1/02/2018,1,30,0,1,1,22/01/2018,Street,0
41,Female,Accountant,Monthly,15/02/2018,1,40,0,1,1,22/01/2018,Door to Door,0
25,Male,Operator ,Monthly,15/02/2018,1,30,1,1,1,22/01/2018,Street,0
33,Male,Construction Worker,Monthly,15/02/2018,1,40,0,0,1,22/01/2018,Door to Door,0
32,Female,Receptionist,Monthly,15/02/2018,1,40,0,1,1,22/01/2018,Door to Door,0
38,Male,Construction Worker,Monthly,15/02/2018,1,40,0,0,1,22/01/2018,Door to Door,0
46,Male,Other,Monthly,15/03/2018,1,20,0,1,1,22/01/2018,Door to Door,0
41,Female,Lawyer,Monthly,1/03/2018,1,30,0,1,1,22/01/2018,Street,1
23,Male,Restaurant manager ,Other,28/02/2018,1,14,0,1,1,23/01/2018,Street,0
25,Male,Engineering ,Monthly,16/02/2018,1,20,0,1,1,23/01/2018,Street,0
46,Female,Lecturer,Monthly,1/03/2018,1,30,0,0,1,23/01/2018,Street,0
26,Male,Hospitality,Monthly,1/03/2018,1,30,0,1,1,23/01/2018,Street,0
37,Male,Accountant,Monthly,15/02/2018,1,38,0,0,1,23/01/2018,Door to Door,0
55,Female,Nurse,Monthly,15/02/2018,1,30,0,1,1,23/01/2018,Street,0
42,Female,Hospitality Worker,Monthly,15/02/2018,1,20,0,1,1,23/01/2018,Door to Door,0
73,Male,Construction Worker,Monthly,15/02/2018,1,38,0,1,1,23/01/2018,Door to Door,0
27,Female,Support Worker,Monthly,15/02/2018,1,30,0,1,1,23/01/2018,Street,0
27,Female,Other,Monthly,15/02/2018,1,40,0,0,1,23/01/2018,Door to Door,0
37,Male,Business Analyst,Monthly,15/02/2018,1,30,0,1,1,23/01/2018,Street,0
56,Male,Health Professional,Monthly,15/02/2018,1,40,0,0,1,23/01/2018,Door to Door,0
37,Female,Human Resource Professional,Monthly,15/02/2018,1,30,0,0,1,23/01/2018,Door to Door,0
37,Male,Sales Representative,Monthly,15/02/2018,1,30,0,0,1,23/01/2018,Door to Door,0
47,Male,Miner,Monthly,15/02/2018,1,30,0,1,1,23/01/2018,Door to Door,0
41,Female,Management,Monthly,16/02/2018,1,30,0,1,1,23/01/2018,Door to Door,0
38,Female,Science & Technology,Monthly,16/02/2018,1,30,0,1,1,23/01/2018,Door to Door,0
28,Male,Hospitality ,Monthly,1/03/2018,1,30,0,1,1,23/01/2018,Street,1
47,Female,Sales Representative,Monthly,15/02/2018,1,40,0,0,1,23/01/2018,Door to Door,1
25,Female,Retail,Monthly,16/02/2018,1,30,0,1,1,23/01/2018,Door to Door,1
32,Male,Management,Monthly,16/02/2018,1,40,0,1,1,23/01/2018,Door to Door,1
25,Male,Hospitality / Chef,Monthly,16/02/2018,1,40,0,1,1,23/01/2018,Door to Door,1
35,Male,Hospitality / Chef,Monthly,16/02/2018,1,30,0,1,1,23/01/2018,Door to Door,1
45,Male,Musician,Monthly,20/02/2018,1,30,0,1,1,24/01/2018,Street,0
23,Male,Retail,Monthly,3/02/2018,1,30,0,1,1,24/01/2018,Street,0
47,Female,Security ,Monthly,31/03/2018,1,25,0,1,1,24/01/2018,Street,0
31,Female,Operations ,Monthly,1/02/2018,1,30,0,1,1,24/01/2018,Street,0
28,Male,Construction ,Monthly,15/02/2018,1,30,1,1,1,24/01/2018,Street,0
31,Male,Engineer,Monthly,1/03/2018,1,30,0,1,1,24/01/2018,Street,0
28,Male,Construction ,Monthly,3/02/2018,1,30,0,1,1,24/01/2018,Street,0
26,Male,IT & T,Monthly,16/02/2018,1,40,0,1,1,24/01/2018,Street,0
23,Male,nailshop,Monthly,20/02/2018,1,20,0,1,1,24/01/2018,Street,0
25,Male,Personal trainer,Monthly,1/03/2018,1,25,0,1,1,24/01/2018,Street,0
43,Male,Technisian,Monthly,15/02/2018,1,30,0,1,1,24/01/2018,Street,0
28,Male,Business Owner,Monthly,15/02/2018,1,35,0,0,1,24/01/2018,Door to Door,0
24,Male,warehouse ,Monthly,3/02/2018,1,30,0,1,1,24/01/2018,Street,0
31,Male,IT & T,Monthly,16/02/2018,1,25,0,1,1,24/01/2018,Door to Door,0
26,Male,Army ,Monthly,15/02/2018,1,30,1,1,1,24/01/2018,Street,0
46,Female,Other,Monthly,15/02/2018,1,40,0,0,1,24/01/2018,Door to Door,0
33,Male,Banker,Monthly,1/02/2018,1,30,1,1,1,24/01/2018,Street,0
57,Female,Nurse,Monthly,1/02/2018,1,25,0,1,0,24/01/2018,Street,0
42,Female,Accountant,Monthly,15/02/2018,1,30,0,0,1,24/01/2018,Door to Door,0
31,Female,Retail,Monthly,16/02/2018,1,40,0,1,1,24/01/2018,Door to Door,0
37,Male,Accountant,Monthly,15/02/2018,1,30,0,0,1,24/01/2018,Door to Door,0
34,Male,Retail Worker,Monthly,15/02/2018,1,30,0,0,1,24/01/2018,Door to Door,0
41,Female,Health Professional,Monthly,15/02/2018,1,20,0,1,1,24/01/2018,Door to Door,0
26,Female,Community & Sport,Monthly,16/02/2018,1,35,0,1,1,24/01/2018,Door to Door,0
42,Male,Banking & Finance,Monthly,16/02/2018,1,40,0,1,1,24/01/2018,Door to Door,0
,Female,Police,Monthly,15/02/2018,1,25,0,1,1,24/01/2018,Door to Door,0
37,Female,IT Professional,Monthly,15/02/2018,1,25,0,0,1,24/01/2018,Door to Door,0
33,Male,Port worker,Monthly,1/03/2018,1,30,0,1,1,24/01/2018,Street,1
25,Male,Furniture Removalist,Monthly,20/02/2018,1,150,0,0,1,24/01/2018,Street,1
27,Female,Marketing,Monthly,20/03/2018,1,25,0,1,1,24/01/2018,Street,1
35,Female,Other,Monthly,15/02/2018,1,30,0,0,1,24/01/2018,Door to Door,1
30,Male,Other,Monthly,15/02/2018,1,30,0,1,0,24/01/2018,Door to Door,1
